timestamp, DHT11_temp, DHT11_umidade, NTC_temp
1572039443,27,51,24.60
1572039444,27,51,24.60
1572039445,27,51,24.60
1572039446,27,51,24.60
1572039447,27,51,24.60
1572039448,27,51,24.60
1572039449,27,51,24.51
1572039450,27,51,24.60
1572039452,27,51,24.60
1572039453,27,51,24.60
1572039454,27,51,24.60
1572039455,27,51,24.60
1572039456,27,51,24.60
1572039457,27,51,24.60
1572039458,27,51,24.60
1572039459,27,51,24.60
1572039460,27,51,24.60
1572039461,27,51,24.60
1572039462,27,51,24.60
1572039463,27,51,24.60
1572039464,27,51,24.60
1572039465,27,51,24.60
1572039466,27,51,24.60
1572039467,27,51,24.60
1572039468,27,51,24.60
1572039469,27,51,24.51
1572039470,27,51,24.60
1572039471,27,51,24.60
1572039472,27,51,24.60
1572039473,27,51,24.60
1572039474,27,51,24.60
1572039475,27,51,24.60
1572039476,27,51,24.60
1572039477,27,51,24.60
1572039478,27,51,24.60
1572039479,27,51,24.60
1572039480,27,51,24.60
1572039481,27,51,24.60
1572039482,27,51,24.60
1572039483,27,51,24.60
1572039484,27,51,24.60
1572039485,27,51,24.51
1572039486,27,51,24.60
1572039487,27,51,24.60
1572039488,27,51,24.60
1572039489,27,51,24.51
1572039490,27,51,24.60
1572039492,27,51,24.60
1572039493,27,51,24.60
1572039494,27,51,24.60
1572039495,27,51,24.60
1572039496,27,51,24.60
1572039497,27,51,24.51
1572039498,27,51,24.51
1572039499,27,51,24.51
1572039500,27,51,24.51
1572039501,27,51,24.51
1572039502,27,51,24.51
1572039503,27,51,24.51
1572039504,27,51,24.51
1572039505,27,51,24.51
1572039506,27,51,24.51
1572039507,27,51,24.60
1572039508,27,51,24.60
1572039509,27,51,24.51
1572039510,27,51,24.51
1572039511,27,51,24.51
1572039512,27,51,24.51
1572039513,27,51,24.51
1572039514,27,51,24.51
1572039515,27,51,24.51
1572039516,27,51,24.51
1572039517,27,51,24.51
1572039518,27,51,24.51
1572039519,27,51,24.42
1572039520,27,51,24.51
1572039521,27,51,24.51
1572039522,27,51,24.51
1572039523,27,51,24.51
1572039524,27,51,24.51
1572039525,27,51,24.51
1572039526,27,51,24.51
1572039527,27,51,24.51
1572039528,27,51,24.51
1572039529,27,51,24.51
1572039530,27,51,24.51
1572039531,27,51,24.51
1572039532,27,51,24.51
1572039534,27,51,24.51
1572039535,27,51,24.51
1572039536,27,51,24.42
1572039537,27,51,24.51
1572039538,27,51,24.51
1572039539,27,51,24.51
1572039540,27,51,24.42
1572039541,27,51,24.51
1572039542,27,51,24.51
1572039543,27,51,24.51
1572039544,27,51,24.51
1572039545,27,51,24.51
1572039546,27,51,24.51
1572039547,27,51,24.51
1572039548,27,51,24.51
1572039549,27,51,24.51
1572039550,27,51,24.51
1572039551,27,51,24.51
1572039552,27,51,24.51
1572039553,27,51,24.51
1572039554,27,51,24.51
1572039555,27,51,24.51
1572039556,27,51,24.51
