"","code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2008","inova5","pop_2008.1","bur_consel_2008","cand_reelec_2008","cand_sex_2008","cand_esc_2008","cand_age_2008","bur_escol_2008","bur_terc_2008","bur_espel_2008","bur_polit_2008","alinhamento_estadual_2008","alinhamento_federal_2008","alinhamento_ambos_2008","n_alinhado_2008","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2008","log_orcamento_2008","iqb_pcr_2008","iqb_factor_2008"
"4714","SPnhandeara",353260,"3532603",0.751,"SP","nhandeara","São Paulo",6.380106,6.158524,0,10726,0,10726,1,"Não","Masculino",1,"59",0.1827586,0.05836576,0.8862069,0.06225681,1,0,0,0,"SP","Nhandeara","nhandeara","16983412.86",16.64775,0.942456,0.7324945
"4715","SPnipoa",353270,"3532702",0.713,"SP","nipoa","São Paulo",6.402149,6.078468,0,4029,0,4029,0,"Sim","Masculino",1,"58",0.3121019,0,0.7961783,0.064,0,0,0,1,"SP","Nipoa","nipoa","9204894",16.03525,0.9569957,0.798018
"4716","SPnova campina",353282,"3532827",0.651,"SP","nova campina","São Paulo",6.838437,5.477802,0,9091,1,9091,1,"Não","Masculino",0,"43",0.2068273,0.05586592,0.7188755,0.2346369,0,0,0,1,"SP","Nova Campina","nova campina","16255317.13",16.60393,0.930136,0.7240034
"4717","SPnova canaa paulista",353284,"3532843",0.715,"SP","nova canaa paulista","São Paulo",6.402547,6.340148,0,2203,0,2203,1,"Não","Masculino",1,"38",0.2357724,0,0.8861789,0.1284404,1,0,0,0,"SP","Nova Canaa Paulista","nova canaa paulista","8916552",16.00342,0.9436709,0.7519556
"4718","SPnova castilho",353286,"3532868",0.756,"SP","nova castilho","São Paulo",6.413147,6.197503,0,1111,0,1111,1,"Sim","Masculino",0,"39",0.1656442,0,0.8957055,0.1164384,1,0,0,0,"SP","Nova Castilho","nova castilho","10062553.6",16.12433,0.9375578,0.718152
"4719","SPnova europa",353290,"3532900",0.765,"SP","nova europa","São Paulo",6.507636,5.630602,0,9840,0,9840,1,"Não","Masculino",1,"60",0.2984749,0,0.9172113,0.09026128,1,0,0,0,"SP","Nova Europa","nova europa","16667806.29",16.62899,0.9533466,0.7880296
"4720","SPnova granada",353300,"3533007",0.739,"SP","nova granada","São Paulo",6.307114,6.073367,0,18543,0,18543,0,"Sim","Masculino",1,"49",0.2660099,0,0.7848933,0.125523,0,1,0,0,"SP","Nova Granada","nova granada","23175076.35",16.95859,0.9470033,0.7674987
"4721","SPnova guataporanga",353310,"3533106",0.726,"SP","nova guataporanga","São Paulo",6.59455,6.346478,0,2176,0,2176,0,"Sim","Masculino",0,"67",0.1160221,0.006097561,0.9060773,0.07926829,1,0,0,0,"SP","Nova Guataporanga","nova guataporanga","6415617.99",15.67425,0.9355429,0.6975857
"4722","SPnova independencia",353320,"3533205",0.735,"SP","nova independencia","São Paulo",6.552451,6.34279,0,2681,0,2681,0,"Não","Masculino",0,"62",0.186722,0,0.7510373,0.2707182,0,0,0,1,"SP","Nova Independencia","nova independencia","9646157.7",16.08207,0.9264263,0.7102913
"4723","SPnova luzitania",353330,"3533304",0.743,"SP","nova luzitania","São Paulo",6.422809,6.170531,0,3701,0,3701,0,"Não","Masculino",0,"33",0.3017751,0,0.9704142,0.0304878,1,0,0,0,"SP","Nova Luzitania","nova luzitania","11919140.58",16.29366,0.9588278,0.796837
"4724","SPnova odessa",353340,"3533403",0.791,"SP","nova odessa","São Paulo",6.66055,4.69144,0,48170,1,48170,1,"Sim","Masculino",1,"66",0.1219748,0,0.9264279,0.0585162,0,0,0,1,"SP","Nova Odessa","nova odessa","82536385.96",18.22875,0.9380934,0.703136
"4725","SPnovais",353325,"3533254",0.719,"SP","novais","São Paulo",6.378188,5.910038,0,3908,0,3908,0,"Sim","Masculino",0,"49",0.3850267,0.005847953,0.9144385,0.08187135,0,0,0,1,"SP","Novais","novais","9600851.98",16.07736,0.9627374,0.832451
"4726","SPnovo horizonte",353350,"3533502",0.753,"SP","novo horizonte","São Paulo",6.472238,5.864,0,35942,1,35942,1,"Não","Masculino",0,"67",0.1923792,0.1055409,0.704461,0.05804749,0,0,0,1,"SP","Novo Horizonte","novo horizonte","65368759.64",17.99556,0.9425788,0.7372359
"4727","SPnuporanga",353360,"3533601",0.746,"SP","nuporanga","São Paulo",6.311281,5.810093,0,6945,0,6945,0,"Sim","Masculino",1,"53",0.2090909,0.01718213,0.8818182,0.03780069,0,0,0,1,"SP","Nuporanga","nuporanga","17494329.89",16.67739,0.9483094,0.7491719
"4728","SPoleo",353380,"3533809",0.73,"SP","oleo","São Paulo",6.696911,5.651014,0,2729,0,2729,0,"Não","Masculino",1,"50",0.09210526,0,0.7960526,0.2561983,0,0,0,1,"SP","oleo","oleo","6949344.51",15.75416,0.9180344,0.6644835
"4729","SPolimpia",353390,"3533908",0.773,"SP","olimpia","São Paulo",6.32956,5.968375,0,50215,1,50215,1,"Não","Masculino",0,"33",0.1599519,0.3121827,0.7107637,0.04230118,0,0,0,1,"SP","Olimpia","olimpia","72509871.95",18.09923,0.935286,0.7202127
"4730","SPonda verde",353400,"3534005",0.738,"SP","onda verde","São Paulo",6.321865,6.055049,0,3953,0,3953,0,"Sim","Masculino",1,"45",0.2589286,0.01554404,0.8616071,0.1243523,0,0,0,1,"SP","Onda Verde","onda verde","12197767.28",16.31676,0.9459805,0.7638839
"4731","SPoriente",353410,"3534104",0.77,"SP","oriente","São Paulo",6.612229,5.957132,0,6341,0,6341,0,"Sim","Masculino",1,"58",0.16875,0,0.725,0.3793103,0,0,0,1,"SP","Oriente","oriente","7982150.55",15.89272,0.915248,0.6882726
"4732","SPorindiuva",353420,"3534203",0.767,"SP","orindiuva","São Paulo",6.238364,6.147378,0,5294,0,5294,0,"Sim","Masculino",1,"48",0.2857143,0,0.8611111,0.02764977,0,0,0,1,"SP","Orindiuva","orindiuva","19993489.62",16.81092,0.9574355,0.789106
"4733","SPorlandia",353430,"3534302",0.78,"SP","orlandia","São Paulo",6.308681,5.828445,0,37422,0,37422,1,"Não","Masculino",1,"36",0.3894389,0,0.9694719,0.03148936,1,0,0,0,"SP","Orlandia","orlandia","77718993.23",18.16861,0.9676747,0.8407678
"4734","SPosasco",353440,"3534401",0.776,"SP","osasco","São Paulo",6.768804,2.771964,1,713066,1,713066,1,"Sim","Masculino",1,"50",0.2816845,0,0.8900954,0.1234751,0,1,0,0,"SP","Osasco","osasco","1016243226",20.73938,0.9487768,0.7756201
"4735","SPoscar bressane",353450,"3534500",0.749,"SP","oscar bressane","São Paulo",6.643503,5.985245,0,2540,0,2540,0,"Não","Masculino",0,"41",0.2205128,0.05714286,0.7179487,0.2357143,0,0,0,1,"SP","Oscar Bressane","oscar bressane","6793556.7",15.73149,0.9314048,0.7307353
"4736","SPosvaldo cruz",353460,"3534609",0.762,"SP","osvaldo cruz","São Paulo",6.603917,6.169381,0,31317,1,31317,1,"Não","Masculino",1,"53",0.1873508,0.1073095,0.7673031,0.07465008,0,0,0,1,"SP","Osvaldo Cruz","osvaldo cruz","33685026.39",17.33256,0.9405916,0.7327011
"4737","SPourinhos",353470,"3534708",0.778,"SP","ourinhos","São Paulo",6.71651,5.818479,0,103631,1,103631,1,"Sim","Masculino",1,"52",0.4152866,0,0.8840764,0.09221902,1,0,0,0,"SP","Ourinhos","ourinhos","163369734.1",18.91153,0.9650815,0.8464928
"4738","SPouro verde",353480,"3534807",0.692,"SP","ouro verde","São Paulo",6.618378,6.342561,0,8074,0,8074,1,"Não","Masculino",0,"53",0.2067901,0,0.8518519,0.173913,1,0,0,0,"SP","Ouro Verde","ouro verde","13330405.19",16.40556,0.9368036,0.7319535
"4739","SPouroeste",353475,"3534757",0.77,"SP","ouroeste","São Paulo",6.283668,6.312896,0,7482,0,7482,0,"Sim","Masculino",0,"65",0.2767677,0,0.8848485,0.130137,0,0,0,1,"SP","Ouroeste","ouroeste","35763905.08",17.39245,0.9477024,0.7723526
"4740","SPpacaembu",353490,"3534906",0.725,"SP","pacaembu","São Paulo",6.596259,6.260957,0,13672,0,13672,0,"Sim","Masculino",0,"69",0.145679,0,0.9753086,0.02531646,0,0,0,1,"SP","Pacaembu","pacaembu","18631253.8",16.74035,0.9433665,0.719018
"4741","SPpalestina",353500,"3535002",0.732,"SP","palestina","São Paulo",6.285346,6.118956,0,11153,0,11153,0,"Não","Masculino",1,"69",0.259542,0.06741573,0.9058524,0.01404494,0,0,0,1,"SP","Palestina","palestina","18156484.92",16.71454,0.9541961,0.7767296
"4742","SPpalmares paulista",353510,"3535101",0.722,"SP","palmares paulista","São Paulo",6.391549,5.866893,0,11444,0,11444,0,"Não","Masculino",0,"40",0.2781457,0,0.9602649,0.04137931,0,0,0,1,"SP","Palmares Paulista","palmares paulista","14604005.46",16.49681,0.9554825,0.7836607
"4743","SPpalmital",353530,"3535309",0.746,"SP","palmital","São Paulo",6.703752,5.928977,0,22190,1,22190,1,"Sim","Masculino",0,"55",0.3031204,0,0.872214,0.04258944,0,0,0,1,"SP","Palmital","palmital","36092629.36",17.4016,0.9579233,0.7960656
"4744","SPpanorama",353540,"3535408",0.722,"SP","panorama","São Paulo",6.614122,6.379309,0,14502,0,14502,1,"Sim","Masculino",0,"47",0.1847619,0.06802721,0.84,0.07709751,1,0,0,0,"SP","Panorama","panorama","21646286",16.89034,0.941133,0.731604
"4745","SPparaibuna",353560,"3535606",0.719,"SP","paraibuna","São Paulo",6.778125,4.614823,0,16863,1,16863,1,"Não","Masculino",1,"46",0.2055085,0.241206,0.6324153,0.120603,1,0,0,0,"SP","Paraibuna","paraibuna","29184280.64",17.18914,0.935024,0.7346367
"4746","SPparaiso",353570,"3535705",0.749,"SP","paraiso","São Paulo",6.378392,5.87852,0,5785,0,5785,0,"Sim","Masculino",0,"46",0.3359684,0,0.9130435,0.06493506,0,0,0,1,"SP","Paraiso","paraiso","15855878.55",16.57905,0.9593472,0.809899
"4747","SPparanapanema",353580,"3535804",0.717,"SP","paranapanema","São Paulo",6.745401,5.364105,0,17558,0,17558,0,"Não","Masculino",0,"60",0.2480091,0.002355713,0.9658703,0.03297998,0,0,0,1,"SP","Paranapanema","paranapanema","44129819.81",17.60265,0.9530736,0.769492
"4748","SPparanapua",353590,"3535903",0.732,"SP","paranapua","São Paulo",6.322098,6.326829,0,3732,1,3732,1,"Não","Masculino",1,"60",0.1609195,0,0.9367816,0.06748466,0,1,0,0,"SP","Paranapua","paranapua","8547746.98",15.96118,0.94129,0.7216329
