"code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2008","inova5","pop_2008.1","bur_consel_2008","cand_reelec_2008","cand_sex_2008","cand_esc_2008","cand_age_2008","bur_escol_2008","bur_terc_2008","bur_espel_2008","bur_polit_2008","alinhamento_estadual_2008","alinhamento_federal_2008","alinhamento_ambos_2008","n_alinhado_2008","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2008","log_orcamento_2008"
"BAitororo",291710,"2917102",0.594,"BA","itororo","Bahia",6.74002278243147,5.67647979212819,0,20841,0,20841,0,"Não","Masculino",1,"46",0.0533159947984395,0,0.732119635890767,0.0870337477797513,0,0,0,1,"BA","Itororo","itororo","18859665.55",16.7525361017144
"BAitubera",291730,"2917300",0.606,"BA","itubera","Bahia",6.87849123329561,4.6931810633108,0,24185,0,24185,1,"Não","Masculino",1,"65",0.143109540636042,0.032051282051282,0.551236749116608,0.0769230769230769,0,0,0,1,"BA","Itubera","itubera","24300562.63",17.0060100615407
"BAiuiu",291733,"2917334",0.591,"BA","iuiu","Bahia",6.20196855487573,6.34199817168993,0,11954,1,11954,0,"Sim","Masculino",1,"36",0.033210332103321,0,0.673431734317343,0.126027397260274,0,0,0,1,"BA","Iuiu","iuiu","13846508.95",16.443543697453
"BAjaborandi",291735,"2917359",0.613,"BA","jaborandi","Bahia",6.10099137163522,6.46904874609417,0,9032,0,9032,1,"Não","Masculino",1,"54",0.124087591240876,0.0766550522648084,0.698296836982968,0.299651567944251,0,0,0,1,"BA","Jaborandi","jaborandi","20451339.7",16.8335589493098
"BAjacaraci",291740,"2917409",0.593,"BA","jacaraci","Bahia",6.3944432332962,6.15708491217853,0,14656,0,14656,1,"Sim","Masculino",1,"47",0.021875,0.00943396226415094,0.828125,0.0716981132075472,0,0,0,1,"BA","Jacaraci","jacaraci","14848549.39",16.5134127342665
"BAjacobina",291750,"2917508",0.649,"BA","jacobina","Bahia",6.85696712015003,5.68819495131449,0,78842,0,78842,0,"Não","Feminino",1,"51",0.232238010657194,0.00393037619314992,0.790852575488455,0.098820887142055,0,0,0,1,"BA","Jacobina","jacobina","71915903.79",18.0910079914166
"BAjaguarari",291770,"2917706",0.659,"BA","jaguarari","Bahia",6.94534967039083,5.86621306691902,0,30222,0,30222,0,"Não","Masculino",1,"59",0.0980720871751886,0.00575263662511985,0.874266554903604,0.123681687440077,0,0,0,1,"BA","Jaguarari","jaguarari","36993877.14",17.426262974212
"BAjaguaripe",291780,"2917805",0.556,"BA","jaguaripe","Bahia",6.92442555460265,3.79750961863939,1,17074,0,17074,0,"Não","Masculino",0,"54",0.0455840455840456,0.0506329113924051,0.337606837606838,0.388185654008439,0,0,0,1,"BA","Jaguaripe","jaguaripe","16927472.16",16.6444484316795
"BAjequie",291800,"2918001",0.665,"BA","jequie","Bahia",6.76847022287864,5.28147634935201,0,150351,1,150351,1,"Sim","Masculino",1,"64",0.174358974358974,0.055935098206661,0.632118758434548,0.137062339880444,0,0,0,1,"BA","Jequie","jequie","167366353.6",18.9356957017914
"BAjeremoabo",291810,"2918100",0.547,"BA","jeremoabo","Bahia",7.10390577371253,5.77885902520544,0,38924,0,38924,1,"Não","Masculino",0,"42",0.123548046462513,0.0364321608040201,0.840549102428722,0.111809045226131,0,0,0,1,"BA","Jeremoabo","jeremoabo","33796277.89",17.3358612327918
"BAjitauna",291830,"2918308",0.575,"BA","jitauna","Bahia",6.78658150125164,5.24254035107904,0,16816,0,16816,1,"Não","Masculino",0,"60",0.0674157303370786,0,0.320224719101124,0.192982456140351,0,0,0,1,"BA","Jitauna","jitauna","16522574.52",16.6202381565299
"BAjoao dourado",291835,"2918357",0.593,"BA","joao dourado","Bahia",6.73020631522632,5.95899300696102,0,21726,0,21726,0,"Não","Masculino",0,"40",0.120671563483736,0.100990099009901,0.5299055613851,0.0693069306930693,0,0,0,1,"BA","Joao Dourado","joao dourado","19728443.82",16.7975720010918
"BAjuazeiro",291840,"2918407",0.677,"BA","juazeiro","Bahia",6.97757047893101,6.11204367006637,0,237627,0,237627,1,"Não","Masculino",1,"36",0.267133785855047,0.32952776336274,0.421940004379242,0.124026984950701,0,0,0,1,"BA","Juazeiro","juazeiro","217805604.7",19.1991135013735
"BAjussara",291850,"2918506",0.571,"BA","jussara","Bahia",6.72395262590638,6.0699753127265,0,15229,0,15229,0,"Sim","Masculino",0,"38",0.0306122448979592,0.0648148148148148,0.36734693877551,0.337962962962963,0,0,0,1,"BA","Jussara","jussara","16478746.5",16.6175820176595
"BAjussiape",291860,"2918605",0.602,"BA","jussiape","Bahia",6.58840364486933,5.82617708286981,0,8356,0,8356,0,"Não","Masculino",0,"40",0.014336917562724,0.0133333333333333,0.403225806451613,0.08,0,0,0,1,"BA","Jussiape","jussiape","11414094.19",16.2503594821912
"BAlagoa real",291875,"2918753",0.545,"BA","lagoa real","Bahia",6.47921599790337,6.01620593899643,0,14359,0,14359,1,"Sim","Masculino",1,"40",0.0661538461538462,0,0.812307692307692,0.231060606060606,0,0,0,1,"BA","Lagoa Real","lagoa real","14619961.01",16.4978983453877
"BAlaje",291880,"2918803",0.586,"BA","laje","Bahia",6.8669541175782,4.62242053939462,0,21957,0,21957,1,"Não","Masculino",1,"34",0.339593114241002,0.00727272727272727,0.860719874804382,0.0545454545454545,0,0,0,1,"BA","Laje","laje","23415421.88",16.9689054179476
